region,prefecture,n_elevage,n_abattoirs,n_pisciculture,n_retenues_eau,n_barrages,total_infra
Plateaux,Haho,411,1,3,35,30,480
Maritime,Zio,226,2,14,46,33,321
Plateaux,Agou,170,1,10,83,37,301
Maritime,Golfe,224,3,10,20,1,258
Maritime,Avé,148,1,4,82,8,243
Savanes,Tône,80,0,1,51,40,172
Maritime,Lacs,108,2,30,13,4,157
Centrale,Blitta,110,1,2,11,10,134
Centrale,Tchaoudjo,112,2,3,11,4,132
Plateaux,Amou,112,0,7,7,5,131
Kara,Kozah,97,2,4,15,9,127
Kara,Bassar,91,4,0,15,14,124
Plateaux,Ogou,112,0,2,3,2,119
Centrale,Sotouboua,87,1,1,13,7,109
Kara,Dankpen,44,1,0,23,22,90
Savanes,Tandjoaré,56,1,0,21,10,88
Plateaux,Kpélé,70,0,6,6,3,85
Maritime,Vo,68,1,11,2,0,82
Maritime,Bas-Mono,61,0,7,11,0,79
Plateaux,Kloto,62,1,4,7,4,78
Maritime,Agoè-Nyivé,59,1,0,10,2,72
Kara,Assoli,60,1,1,2,2,66
Maritime,Yoto,42,1,2,19,0,64
Centrale,Tchamba,46,1,5,5,4,61
Kara,Kéran,14,1,0,33,11,59
Plateaux,Anié,46,0,1,5,2,54
Kara,Doufelgou,23,2,3,14,11,53
Plateaux,Est-Mono,32,0,1,15,3,51
Kara,Binah,37,1,0,4,0,42
Savanes,Oti,28,2,0,7,3,40
Plateaux,Moyen-Mono,29,0,4,2,2,37
Savanes,Kpendjal,28,0,0,2,1,31
Savanes,Kpendjal-Ouest,18,0,0,5,5,28
Plateaux,Wawa,26,1,0,0,0,27
Plateaux,Danyi,18,0,5,1,1,25
Savanes,Cinkassé,14,1,0,4,3,22
Plateaux,Akébou,17,0,0,1,1,19
Savanes,Oti-Sud,8,0,0,5,4,17
Centrale,Mô,10,0,0,2,2,14
